Card Name,Colour(s),Subdomain(s),Type,Tier,Casting Cost,Upkeep Cost,Keywords,Effect,Flavor,Creation Status,Performance,Play / Pick Rate,OG Creator,Date Added,Last Tested
Furious Pulse,Yellow,Impact,Instant,3,3/2/2,N/A,"Return, Chain","Deal 6 damage to a target.

Chain Impact: Return a card from the taget's casting well.",,,No Data,0 / 0,Noah,5/25/26,
Reforge,Orange,Transmute,Ward,2,3/3,2,Return,"Once per round, when you are forced to discard a card from play, you may return it instead.",,,No Data,2 / 2,Noah,5/25/26,4/15/2026
Exponential Growth,Green,Growth,Instant,3,1/2/1,2,Bank,"During End Phase, you may choose a bank in your concentration circle. For every four tokens on it, add an additional token.",,,No Data,0 / 0,Noah,5/25/26,
Reccurent Poison,Orange,Chemical,Curse,2,2/2,3,"DoT, Exert","Deal 1 DoT to a target.

Exert: Deal 1 more DoT.",,,No Data,0 / 0,Daniel,5/25/26,
Force Their Hand,Blue,Domination,Instant,2,3/3,N/A,"Reveal, Forced-Discard","Reveal three cards from a target's hand. Of the three, choose one they must play next round, one they cannot play next round, and one they must discard. If they have fewer than three cards in their hand, you may choose which of the three options you'd prefer to inflict.",,,No Data,0 / 1,Noah,5/25/26,4/22/2026
Banishment,Purple,Soul,Instant,2,4/4,N/A,,Pick a card on the target's side of the field. Annul it and other copies of the card on the field and in the target's archive.,,,No Data,0 / 0,Ali,5/25/26,
Tumult Future,Purple,Divination,Instant,1,5,N/A,,"Look at the top 4 cards in your deck and put at least one of them in your archive. Then, put the rest back in any order.",,,No Data,0 / 0,Ali,5/25/26,
Returned Effort,Green,Growth,Enchantment,2,2/2,1,"Draw, Heal","At the start of Adjudication Phase, for each caster who has at least 3 cards in their casting well, you Draw 1. If there are at least 6 cards in total between everyone's casting wells, also Heal 1.",,,No Data,0 / 0,Ali,5/25/26,
Greedy Offer,Purple,Soul,Instant,2,2/2,N/A,"Draw, Everyone, 0-Cost Counter","Place a 0-Cost Counter on any card on your side of the field. Everyone may Draw 2. For every caster other than you that draws, place two more 0-Cost Counters on any card on your side of the field.",,,No Data,0 / 0,Ali,5/25/26,
Contingency,Blue,Illusion,Instant,1,4,N/A,"Return, Self-Discard","Pick a card in your casting well. You may return it to your hand and cast a different card of the same colour in the same casting well slot, progressing its casting stages in its place. If you picked this card, discard it instead of returning it.",,,No Data,0 / 0,Ali,5/25/26,
Blood Price,Green,Draining,Curse,2,3/3,2,,"Pick a caster. When they would pay their Upkeep Cost during their Upkeep Phase, they do not pay mana, deal 1 damage for every 2 mana they would pay.",,,No Data,0 / 0,Ali,5/25/26,
Stasis,Red,Freeze,Ward,2,2/2,2,Heal,"You cannot cast or activate spells, spells in your casting well continue paying for their casting stages, but will not activate and stay in your casting well. Heal 3 during End Phase.",,,No Data,0 / 0,Ali,5/25/26,
Echo,Yellow,Vibration,Instant,2,1/1,N/A,Return,Vibration Augment: The attached card is returned to your hand after its activation.,,,No Data,0 / 0,Daniel,5/25/26,
Reset,Purple,Soul,Instant,3,4/4/4,N/A,"Forced-Discard, Self-Discard",Discard all cards in everyone's concentration circles and casting wells.,,,No Data,0 / 0,Daniel,5/25/26,
See through Another,Blue,Telepathy,Instant,2,1/2,N/A,Reveal,Reveal all the cards in a target's casting well.,,,No Data,0 / 0,Daniel,5/25/26,
Selective Amnesia,Blue,Domination,Curse,1,5,2,Reveal,"Reveal the target's hand and pick a card. While this card is in play, that card is annulled. When this card is discarded, that card returns to the target's hand.",,,No Data,0 / 0,Ali,5/25/26,
Fate Change,Purple,Divination,Instant,2,2/3,N/A,Draw,"Look at the top 5 cards of your deck. Choose 2 cards to Draw, then place the other cards on the bottom of your deck in any order.",,,No Data,0 / 0,Daniel,5/25/26,
Screaming Leaf,Green,Animation,Instant,2,2/4,N/A,"Suppress, Exert, Forced-Discard","Choose a card in the target's concentration circle and Suppress it.

Exert: Discard the card instead.",,,No Data,0 / 0,Noah,5/25/26,
See and Suspend,Blue,Domination,Instant,2,3/4,N/A,"Reveal, Heighten, Synergize","Reveal every card in the target's casting well. 

Heighten or Synergize Blue: Choose one to delay.",,,No Data,0 / 0,Noah,5/25/26,
Headache,Blue,Sanity,Instant,1,3,N/A,,"Choose a card in a target's casting well. They take damage equal to its tier. If the card is revealed, deal 1 additional damage.",,,No Data,0 / 0,Noah,5/25/26,
Fading Memory,Blue,Domination,Curse,2,1/1,1,,"Choose a card in a target's concentration circle and put a number of counters on it equal to its tier. During End Phase remove a counter on it and annul it when there arent any left while this card is in play. Discard this card after it annulls a card, pick a new target if its original target is no longer in play. ",,,No Data,0 / 0,Ali,5/25/26,
Guilt Trip,Blue,Sanity,Instant,3,2/2/2,N/A,"Reveal, Forced-Discard",Reveal a target's hand. Choose one card from their hand to Discard.,,,No Data,0 / 0,Daniel,5/25/26,
Unmake,Orange,Conjuration,Curse,2,3/3,2,0-Cost Counter,"All cards on the field that have 0-cost counters are immediately discarded. While this card is in play, any that card gains a 0-cost counter is immediately discarded.",,,No Data,0 / 0,Noah,5/25/26,
Cancerous Growth,Green,Growth,Curse,3,1/3/4,2,Self-Discard,"Choose a target. Add 3 counters to this card. During Draw Phase, add a counter to this card. During End Phase, if the target's health is lower than the number of counters on this card, deal damage to them equal to the number of counters on this card. Discard this card afterwards.",,,No Data,0 / 0,Noah,5/25/26,
Stomach of Steel,Orange,Transmute,Ward,3,1/1/2,4,"Suppress, 0-Cost Counter","Choose a slot in your concentration circle. This card and any card in that slot cannot be suppressed.

At the start of Upkeep Phase, if the chosen slot is empty, add a 0-cost counter to this card.",,,No Data,0 / 0,Noah,5/25/26,
Desperate Dismissal,Green,Release,Instant,1,5,N/A,Forced-Discard,Take 3 damage. Discard a card from a target's concentration circle.,,,No Data,0 / 0,Noah,5/25/26,
Great One's Toll,Purple,Channeling,Curse,2,3/3,2,Draw,"Choose a target. Whenever they draw a card or add a card to their hand, they must pay 2 mana.",,,No Data,0 / 0,Noah,5/25/26,
Heat Cycle,Red,Heat,Instant,1,3,N/A,"Draw, Upcast","Draw 1. Deal 1 damage to a target.

Upcast: Draw an additional card. Increase the damage dealt by 1.",,,No Data,0 / 0,Noah,5/25/26,
Chilly Beam,Red,Freeze,Instant,2,2/3,N/A,Delay,Deal 2 damage to a target. Inflict Delay 2 on a card in their casting well.,,,No Data,0 / 0,Noah,5/25/26,
Cold Patience,Red,Freeze,Ward,1,2,0,"Hidden, Forced-Discard, Return, Delay","Hidden

When you are forced to discard or return a card in your casting well, you may discard this card to Delay it instead.",,,No Data,0 / 0,Noah,5/25/26,
Cold Shoulder,Red,Freeze,Instant,1,5,N/A,"Delay, Upcast, Forced-Discard","Inflict Delay on a card in the target's casting well.

Upcast: Discard the card instead.",,,No Data,0 / 0,Daniel,5/25/26,
Volcanic Ash,Orange,Conjuration,Instant,1,4,N/A,Conjure,Deal 2 damage to a target. Conjure a Sulfur and add it to your Component Pouch.,,,No Data,0 / 0,Noah,5/25/26,
Easing Oregano,Orange,Conjuration,Instant,1,1,N/A,Conjure,Gain 3 mana. Conjure an Oregano and add it to your Component Pouch.,,,No Data,0 / 0,Noah,5/25/26,
Anything is Possible,Orange,Conjuration,Instant,3,1/3/1,N/A,"Reveal, Conjure","Search your codex for an orange card, reveal it, and set it aside. Shuffle your codex, then set that card on top.

Conjure a Diamond and add it to your Component Pouch.",,,No Data,0 / 0,Noah,5/25/26,
Hotshot,Red,Heat,Instant,2,3/1,N/A,Material,"Deal 3 damage to a target.

Material x2 Sulfur: Deal 3 additional damage.",,,No Data,0 / 0,Noah,5/25/26,
